id,productDisplayName,brand,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,outfit_slot,formality,formality_tier,color_family,is_neutral,is_ethnic,price,mrp,discount_pct,image_file
1525,Puma Deck Navy Blue Backpack,Puma Deck,Unisex,Accessories,Bags,Backpacks,Navy Blue,Fall,2010.0,Casual,accessory,1.0,Casual,blue,True,False,849,2149,60,1525.jpg
1531,Puma Men Grey Solid Round Neck T-Shirt,Puma,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010.0,Casual,top,0.75,Casual,neutral,True,False,399,399,0,1531.jpg
1534,Puma Men Black Leaping Cat T-shirt,Puma,Men,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Casual,top,0.75,Casual,neutral,True,False,549,949,40,1534.jpg
1538,Puma Men Ferrari Track Black T-shirt,Puma,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Casual,top,0.75,Casual,blue,False,False,899,899,0,1538.jpg
1543,Puma Men Basket-Biz Sneaker,Puma,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2010.0,Casual,footwear,1.0,Casual,neutral,True,False,2449,3099,20,1543.jpg
1559,Quechua Blue Light Backpack,Quechua Blue,Unisex,Accessories,Bags,Backpacks,Blue,Summer,2011.0,Travel,accessory,0.75,Casual,blue,False,False,1899,1899,0,1559.jpg
1561,Quechua Women Sweat Proof White T-shirt,Quechua,Women,Apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,top,0.5,Relaxed,neutral,True,False,449,449,0,1561.jpg
1566,Artengo Men Black Cap,Artengo,Men,Accessories,Headwear,Caps,Black,Summer,2011.0,Sports,accessory,0.25,Relaxed,neutral,True,False,549,1399,60,1566.jpg
1567,Artengo Men Training Shorts,Artengo,Men,Apparel,Bottomwear,Shorts,Black,Fall,2010.0,Sports,bottom,0.0,Relaxed,neutral,True,False,899,1499,40,1567.jpg
1570,Artengo Women Tennis Singlet,Artengo,Women,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,top,0.5,Relaxed,neutral,True,False,949,1199,20,1570.jpg
1575,Kipsta Men Sports White T-shirt,Kipsta,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,top,0.75,Casual,neutral,True,False,649,949,30,1575.jpg
1591,Kipsta Men Red Shorts,Kipsta,Men,Apparel,Bottomwear,Shorts,Red,Fall,2010.0,Sports,bottom,0.0,Relaxed,red,False,False,949,949,0,1591.jpg
1594,Newfeel Unisex Grey Mesh Lightweight Shoe,Newfeel,Unisex,Footwear,Shoes,Casual Shoes,Grey,Fall,2012.0,Casual,footwear,1.0,Casual,neutral,True,False,1599,2299,30,1594.jpg
1603,Reebok Men Hoops Athletic Navy Sweatshirt,Reebok,Men,Apparel,Topwear,Sweatshirts,Navy Blue,Fall,2010.0,Casual,top,0.5,Relaxed,blue,True,False,699,699,0,1603.jpg
1609,Reebok Women Boat-Neck Wildberry Sweatshirt,Reebok,Women,Apparel,Topwear,Sweatshirts,Pink,Fall,2010.0,Sports,top,0.25,Relaxed,pink,False,False,1499,2149,30,1609.jpg
1610,Reebok Navy Jacket,Reebok Navy,Women,Apparel,Topwear,Jackets,Navy Blue,Summer,2011.0,Casual,outerwear,1.0,Casual,blue,True,False,2849,2849,0,1610.jpg
1615,Reebok Men Navy Blue Polo T-shirt,Reebok,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2010.0,Casual,top,0.75,Casual,blue,True,False,549,1099,50,1615.jpg
1620,Reebok Men Micro Shorts,Reebok,Men,Apparel,Bottomwear,Shorts,Blue,Fall,2010.0,Sports,bottom,0.0,Relaxed,blue,False,False,649,649,0,1620.jpg
1622,Reebok Navy Knit Rib Jacket,Reebok Navy,Men,Apparel,Topwear,Jackets,Navy Blue,Summer,2016.0,Casual,outerwear,1.0,Casual,blue,True,False,1799,2999,40,1622.jpg
1623,Reebok Unisex Red Backpack,Reebok,Unisex,Accessories,Bags,Backpacks,Red,Summer,2011.0,Casual,accessory,1.0,Casual,red,False,False,1299,1649,20,1623.jpg
1635,Newfeel Unisex Red Comfy Shoes,Newfeel,Unisex,Footwear,Shoes,Casual Shoes,Red,Spring,2011.0,Casual,footwear,1.0,Casual,red,False,False,1399,1999,30,1635.jpg
1646,Quechua Ultralight Backpack 16 Ltr Grey Bag,Quechua Ultralight,Women,Accessories,Bags,Backpacks,Grey,Summer,2011.0,Sports,accessory,0.75,Casual,neutral,True,False,1899,1899,0,1646.jpg
1648,Quechua  Ultralight Backpack Purple 16 ltr Bag,Quechua Ultralight,Women,Accessories,Bags,Backpacks,Pink,Summer,2011.0,Travel,accessory,0.75,Casual,pink,False,False,2099,2099,0,1648.jpg
1649,Newfeel Unisex Comfy Cool Blue Shoe,Newfeel,Unisex,Footwear,Shoes,Casual Shoes,Blue,Spring,2012.0,Casual,footwear,1.0,Casual,blue,False,False,1249,1799,30,1649.jpg
1658,Nike Men Windrunner Blue Jacket,Nike,Men,Apparel,Topwear,Jackets,Blue,Fall,2012.0,Sports,outerwear,0.75,Casual,blue,False,False,3199,6399,50,1658.jpg
1678,Reebok Men Play Hard Cotton Green T-shirt,Reebok,Men,Apparel,Topwear,Tshirts,Green,Fall,2010.0,Casual,top,0.75,Casual,green,False,False,649,1099,40,1678.jpg
1730,Reebok Women Black Pink Frisker Shoe,Reebok,Women,Footwear,Shoes,Sports Shoes,Black,Fall,2010.0,Sports,footwear,0.5,Relaxed,neutral,True,False,1299,1899,30,1730.jpg
1783,Quechua Men Grey Sandal,Quechua,Men,Footwear,Sandal,Sandals,Grey,Spring,2011.0,Sports,footwear,0.25,Relaxed,neutral,True,False,1799,2249,20,1783.jpg
1794,Newfeel Brown 22L Bag,Newfeel Brown,Unisex,Accessories,Bags,Backpacks,Brown,Summer,2011.0,Sports,accessory,0.75,Casual,brown,True,False,1099,1849,40,1794.jpg
1795,Newfeel 22L Black Bag,Newfeel 22L,Men,Accessories,Bags,Backpacks,Black,Fall,2010.0,Sports,accessory,0.75,Casual,neutral,True,False,799,799,0,1795.jpg
1806,Quechua Men Arpenaz Brown Sandal,Quechua,Men,Footwear,Sandal,Sandals,Brown,Spring,2011.0,Casual,footwear,0.5,Relaxed,brown,True,False,1099,1099,0,1806.jpg
1854,Inkfruit Mens Pencho T-shirt,Inkfruit,Men,Apparel,Topwear,Tshirts,Purple,Summer,2011.0,Casual,top,0.75,Casual,purple,False,False,599,1499,60,1854.jpg
1883,FIFA Mens Heritage Collection Grey Track Pants,FIFA,Men,Apparel,Bottomwear,Track Pants,Grey,Winter,2010.0,Casual,bottom,0.25,Relaxed,neutral,True,False,1249,1599,20,1883.jpg
1884,FIFA Mens 1905 Heritage Collection Track Pants,FIFA,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Winter,2010.0,Casual,bottom,0.25,Relaxed,blue,True,False,1299,1899,30,1884.jpg
1885,FIFA Mens 1904 Heritage Shorts,FIFA,Men,Apparel,Bottomwear,Shorts,Grey,Winter,2010.0,Casual,bottom,0.25,Relaxed,neutral,True,False,1099,1599,30,1885.jpg
